"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.10.2021","31,98","31,42","32,48","31,26","64,39K","0,95%"
"28.10.2021","31,68","32,00","32,60","31,60","58,86K","-1,00%"
"27.10.2021","32,00","32,00","32,48","31,32","83,97K","0,00%"
"26.10.2021","32,00","31,30","32,92","31,30","110,61K","0,31%"
"25.10.2021","31,90","32,00","32,00","31,40","57,95K","-0,31%"
"22.10.2021","32,00","31,28","32,00","31,20","31,24K","1,65%"
"21.10.2021","31,48","31,70","31,86","30,94","42,48K","-1,32%"
"20.10.2021","31,90","32,22","32,22","31,52","38,19K","-0,93%"
"19.10.2021","32,20","32,78","32,96","31,70","74,75K","-2,13%"
"18.10.2021","32,90","32,38","33,10","31,90","224,37K","2,43%"
"15.10.2021","32,12","31,40","32,40","31,02","220,80K","3,61%"
"14.10.2021","31,00","30,60","31,20","30,32","209,28K","1,64%"
"13.10.2021","30,50","30,10","30,68","30,10","30,65K","1,33%"
"12.10.2021","30,10","30,70","30,90","30,10","73,62K","-2,59%"
"11.10.2021","30,90","30,30","30,90","30,28","38,50K","1,98%"
"08.10.2021","30,30","30,00","30,80","30,00","52,57K","0,46%"
"07.10.2021","30,16","29,58","30,16","29,22","41,05K","0,53%"
"06.10.2021","30,00","30,12","30,16","29,20","78,16K","-0,66%"
"05.10.2021","30,20","29,88","30,42","29,88","22,54K","1,34%"
"04.10.2021","29,80","30,70","30,98","29,40","68,92K","-0,73%"
"01.10.2021","30,02","30,02","30,70","29,70","150,67K","-1,18%"
"30.09.2021","30,38","30,30","30,98","30,08","52,94K","0,26%"
"29.09.2021","30,30","29,70","30,40","29,14","61,59K","4,48%"
"28.09.2021","29,00","30,42","30,42","29,00","163,23K","-3,20%"
"27.09.2021","29,96","30,00","30,40","29,64","25,82K","-1,06%"
"24.09.2021","30,28","30,68","30,74","30,00","17,31K","0,60%"
"23.09.2021","30,10","30,26","30,82","29,98","18,04K","-0,33%"
"22.09.2021","30,20","29,76","30,36","29,74","33,62K","1,48%"
"21.09.2021","29,76","29,00","29,76","29,00","18,27K","1,57%"
"20.09.2021","29,30","29,90","30,00","28,40","100,90K","-2,98%"
"17.09.2021","30,20","30,80","30,88","29,76","68,60K","-1,95%"
"16.09.2021","30,80","30,22","30,80","29,48","98,95K","0,26%"
"15.09.2021","30,72","30,24","31,20","29,98","76,68K","0,92%"
"14.09.2021","30,44","30,60","30,98","30,22","39,67K","-0,13%"
"13.09.2021","30,48","30,22","30,50","30,12","34,80K","0,07%"
"10.09.2021","30,46","30,30","30,60","30,22","15,04K","0,46%"
"09.09.2021","30,32","31,20","31,22","30,12","42,64K","-2,94%"
"08.09.2021","31,24","30,70","31,26","30,42","40,13K","2,02%"
"07.09.2021","30,62","30,70","31,28","30,60","26,53K","-0,33%"
"06.09.2021","30,72","30,40","30,96","30,40","30,72K","1,19%"
"03.09.2021","30,36","30,24","30,86","30,22","39,46K","-0,78%"
"02.09.2021","30,60","30,24","30,98","30,22","57,57K","0,66%"
"01.09.2021","30,40","30,90","31,10","30,02","67,07K","-3,12%"
"31.08.2021","31,38","32,00","32,26","31,00","66,18K","-2,85%"
"30.08.2021","32,30","32,30","32,30","31,54","75,75K","0,00%"
"27.08.2021","32,30","31,90","32,30","31,24","132,15K","0,00%"
"26.08.2021","32,30","31,00","32,30","30,82","346,40K","7,67%"
"25.08.2021","30,00","28,72","30,28","28,72","70,43K","3,88%"
"24.08.2021","28,88","29,00","29,12","28,72","13,71K","0,56%"
"23.08.2021","28,72","28,36","29,34","28,32","26,53K","1,48%"
"20.08.2021","28,30","28,78","29,52","28,12","47,25K","-1,05%"
"19.08.2021","28,60","28,78","28,78","28,00","35,28K","-0,63%"
"18.08.2021","28,78","28,80","29,06","28,60","16,32K","-0,07%"
"17.08.2021","28,80","28,80","29,02","28,52","24,08K","-1,71%"
"16.08.2021","29,30","29,50","29,50","28,74","49,68K","-0,81%"
"13.08.2021","29,54","29,50","29,78","29,34","190,82K","-0,20%"
"12.08.2021","29,60","29,38","29,94","29,20","33,95K","0,95%"
"11.08.2021","29,32","29,10","29,32","28,68","25,81K","2,09%"
"10.08.2021","28,72","28,82","29,28","28,62","23,36K","0,42%"
"09.08.2021","28,60","29,54","29,82","28,50","84,60K","-2,79%"
"06.08.2021","29,42","30,00","30,28","29,00","69,96K","-2,06%"
"05.08.2021","30,04","29,18","30,68","29,02","132,28K","2,95%"
"04.08.2021","29,18","28,32","29,28","27,66","142,15K","8,88%"
"03.08.2021","26,80","26,60","27,28","26,60","62,81K","0,68%"
"02.08.2021","26,62","26,56","27,24","26,28","53,86K","1,60%"
"30.07.2021","26,20","26,50","26,52","26,00","77,09K","-1,87%"
"29.07.2021","26,70","26,66","27,08","26,44","28,78K","-1,04%"
"28.07.2021","26,98","26,24","27,16","26,14","32,75K","2,04%"
"27.07.2021","26,44","26,70","26,70","26,04","81,50K","-0,38%"
"26.07.2021","26,54","27,00","27,00","25,82","99,94K","0,15%"
"23.07.2021","26,50","26,70","26,70","26,10","129,27K","0,91%"
"22.07.2021","26,26","26,78","26,80","25,82","243,85K","-1,35%"
"21.07.2021","26,62","26,52","26,94","26,26","64,93K","0,45%"
"20.07.2021","26,50","26,94","27,54","26,20","92,69K","-1,63%"
"19.07.2021","26,94","27,90","27,90","26,42","118,05K","-3,79%"
"16.07.2021","28,00","28,20","28,20","27,30","116,48K","0,00%"
"15.07.2021","28,00","28,20","28,38","27,30","174,30K","-0,71%"
"14.07.2021","28,20","27,26","28,62","27,02","189,57K","4,06%"
"13.07.2021","27,10","25,10","27,60","25,10","114,39K","7,97%"
"12.07.2021","25,10","25,96","26,06","25,02","210,55K","-2,41%"
"09.07.2021","25,72","26,18","26,28","25,44","127,31K","-2,43%"
