"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.10.2021","120,50","122,70","122,80","120,25","71,71K","-1,79%"
"28.10.2021","122,70","121,00","122,70","120,55","58,54K","1,03%"
"27.10.2021","121,45","123,90","124,30","120,40","147,01K","-2,72%"
"26.10.2021","124,85","123,50","124,95","123,30","67,31K","1,13%"
"25.10.2021","123,45","124,50","125,00","121,70","71,61K","-0,84%"
"22.10.2021","124,50","123,50","125,20","122,80","97,85K","0,85%"
"21.10.2021","123,45","122,20","123,75","120,70","152,55K","0,82%"
"20.10.2021","122,45","125,40","126,70","122,45","110,43K","-3,13%"
"19.10.2021","126,40","125,35","126,45","124,40","73,41K","1,04%"
"18.10.2021","125,10","124,00","127,85","123,95","180,91K","1,17%"
"15.10.2021","123,65","123,75","124,40","123,25","97,73K","-0,16%"
"14.10.2021","123,85","121,85","124,55","120,95","268,99K","3,21%"
"13.10.2021","120,00","121,00","122,10","119,85","124,46K","-0,17%"
"12.10.2021","120,20","119,75","122,20","119,55","170,69K","-0,25%"
"11.10.2021","120,50","121,70","121,70","119,30","133,58K","-0,54%"
"08.10.2021","121,15","119,50","122,70","119,00","177,49K","2,15%"
"07.10.2021","118,60","119,30","120,45","116,65","153,63K","0,51%"
"06.10.2021","118,00","124,95","128,50","116,70","968,14K","-5,22%"
"05.10.2021","124,50","123,60","125,60","123,00","265,91K","0,97%"
"04.10.2021","123,30","122,50","123,80","120,90","124,11K","1,07%"
"01.10.2021","122,00","119,50","123,30","118,20","259,92K","0,91%"
"30.09.2021","120,90","119,00","121,35","118,25","111,70K","1,60%"
"29.09.2021","119,00","117,80","119,00","116,75","63,67K","0,85%"
"28.09.2021","118,00","117,50","118,70","116,55","82,33K","0,08%"
"27.09.2021","117,90","121,55","121,55","117,10","86,92K","-3,56%"
"24.09.2021","122,25","121,00","122,25","119,10","103,63K","0,91%"
"23.09.2021","121,15","117,50","122,35","117,50","213,33K","3,11%"
