"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"30.12.2013","17,54","17,60","17,60","17,41","286,80K","-0,34%"
"27.12.2013","17,60","17,40","17,75","17,40","221,15K","1,73%"
"23.12.2013","17,30","16,98","17,30","16,98","216,39K","2,37%"
"20.12.2013","16,90","16,70","16,95","16,65","503,24K","2,11%"
"19.12.2013","16,55","16,50","16,70","16,40","585,78K","1,22%"
"18.12.2013","16,35","16,35","16,50","16,35","246,46K","0,00%"
"17.12.2013","16,35","16,30","16,60","16,30","253,06K","0,00%"
"16.12.2013","16,35","15,59","16,35","15,22","296,26K","4,81%"
"13.12.2013","15,60","15,91","16,08","15,40","202,39K","-2,44%"
"12.12.2013","15,99","16,20","16,23","15,80","123,89K","-2,20%"
"11.12.2013","16,35","16,40","16,50","16,31","34,04K","-0,55%"
"10.12.2013","16,44","16,39","16,45","16,10","115,11K","0,43%"
"09.12.2013","16,37","16,35","16,60","16,35","46,61K","0,74%"
"06.12.2013","16,25","16,19","16,52","16,05","89,98K","0,37%"
"05.12.2013","16,19","16,21","16,21","16,03","50,64K","-0,06%"
"04.12.2013","16,20","16,49","16,49","15,22","477,50K","-1,46%"
"03.12.2013","16,44","16,36","16,48","16,20","59,66K","0,12%"
"02.12.2013","16,42","16,88","16,88","16,40","63,36K","-1,97%"
"29.11.2013","16,75","16,60","16,85","16,51","62,04K","0,90%"
"28.11.2013","16,60","16,85","17,15","16,60","281,32K","-1,48%"
"27.11.2013","16,85","16,45","16,95","16,33","316,54K","0,00%"
"26.11.2013","16,85","16,80","16,95","16,42","922,53K","-0,30%"
"25.11.2013","16,90","16,63","16,90","15,70","621,57K","2,42%"
"22.11.2013","16,50","16,50","16,70","16,25","122,40K","0,67%"
"21.11.2013","16,39","15,63","16,39","15,35","446,45K","5,40%"
"20.11.2013","15,55","15,20","15,64","15,00","140,26K","1,63%"
"19.11.2013","15,30","15,70","15,70","15,17","157,64K","-1,48%"
"18.11.2013","15,53","15,70","15,75","15,50","72,88K","-0,45%"
"15.11.2013","15,60","15,65","15,80","15,51","79,44K","0,00%"
"14.11.2013","15,60","15,20","15,66","15,11","90,13K","1,96%"
"13.11.2013","15,30","15,78","15,78","15,20","156,78K","-2,73%"
"12.11.2013","15,73","15,95","15,98","15,55","65,64K","1,48%"
"08.11.2013","15,50","15,75","15,75","15,20","144,94K","-0,96%"
"07.11.2013","15,65","15,75","15,84","15,65","47,25K","-0,63%"
"06.11.2013","15,75","15,80","15,87","15,59","144,66K","-0,19%"
"05.11.2013","15,78","16,00","16,00","15,75","173,00K","-0,57%"
"04.11.2013","15,87","15,80","15,94","15,67","297,59K","2,39%"
"31.10.2013","15,50","15,50","15,74","15,40","247,00K","0,85%"
"30.10.2013","15,37","15,00","15,70","14,76","316,77K","2,54%"
"29.10.2013","14,99","14,96","15,00","14,80","115,37K","0,27%"
"28.10.2013","14,95","14,99","15,14","14,71","172,24K","0,34%"
"25.10.2013","14,90","14,50","14,98","14,28","173,47K","2,76%"
"24.10.2013","14,50","14,55","14,65","14,38","112,35K","0,21%"
"23.10.2013","14,47","14,48","14,60","14,45","68,50K","0,49%"
"22.10.2013","14,40","14,80","15,07","14,40","353,06K","-1,37%"
"21.10.2013","14,60","14,26","14,73","14,26","404,37K","2,82%"
"18.10.2013","14,20","13,77","14,25","13,45","269,33K","1,50%"
"17.10.2013","13,99","14,20","14,25","13,90","150,75K","-1,41%"
"16.10.2013","14,19","14,26","14,26","13,71","354,72K","-0,42%"
"15.10.2013","14,25","14,48","14,50","14,25","112,25K","-1,59%"
"14.10.2013","14,48","14,40","14,60","14,20","116,54K","0,07%"
"11.10.2013","14,47","14,80","14,85","14,40","698,66K","-1,90%"
"10.10.2013","14,75","14,20","14,75","14,00","251,02K","4,02%"
"09.10.2013","14,18","14,45","14,46","13,40","1,09M","-2,54%"
"08.10.2013","14,55","14,67","14,68","14,42","44,13K","-1,29%"
"07.10.2013","14,74","14,90","14,94","14,35","182,68K","-1,07%"
"04.10.2013","14,90","14,90","14,90","14,23","256,24K","0,54%"
"03.10.2013","14,82","14,95","15,10","14,70","135,46K","-0,60%"
"02.10.2013","14,91","14,97","14,97","14,90","34,95K","0,07%"
"01.10.2013","14,90","14,84","14,90","14,70","61,29K","0,27%"
"30.09.2013","14,86","14,80","15,17","14,72","356,06K","0,41%"
"27.09.2013","14,80","14,80","14,80","14,64","144,51K","0,07%"
"26.09.2013","14,79","14,60","14,80","14,40","196,81K","1,37%"
"25.09.2013","14,59","13,70","14,59","13,51","455,00K","6,19%"
"24.09.2013","13,74","13,75","13,79","13,62","104,66K","0,66%"
"23.09.2013","13,65","13,75","13,84","13,62","80,46K","-0,80%"
"20.09.2013","13,76","13,82","13,82","13,50","158,97K","0,07%"
"19.09.2013","13,75","13,72","13,93","13,50","149,61K","1,48%"
"18.09.2013","13,55","13,70","13,71","13,45","194,54K","-1,09%"
"17.09.2013","13,70","13,65","13,76","13,18","293,29K","0,81%"
"16.09.2013","13,59","13,80","13,99","13,21","248,44K","-1,16%"
"13.09.2013","13,75","13,40","13,75","13,15","318,54K","3,00%"
"12.09.2013","13,35","12,94","13,38","12,80","376,05K","3,17%"
"11.09.2013","12,94","12,45","13,08","12,12","780,73K","4,78%"
"10.09.2013","12,35","12,52","12,59","12,27","295,15K","-0,80%"
"09.09.2013","12,45","12,50","12,57","12,28","105,71K","0,16%"
"06.09.2013","12,43","12,05","12,57","11,85","149,12K","3,15%"
"05.09.2013","12,05","12,10","12,10","10,92","1,05M","-0,99%"
"04.09.2013","12,17","12,40","12,69","12,09","1,85M","-1,78%"
"03.09.2013","12,39","12,38","12,50","12,20","203,97K","1,64%"
"02.09.2013","12,19","12,30","12,66","12,05","177,27K","-1,46%"
"30.08.2013","12,37","12,50","12,66","12,30","226,25K","-1,20%"
"29.08.2013","12,52","12,00","12,52","11,96","515,03K","6,10%"
"28.08.2013","11,80","11,30","12,00","10,90","545,98K","3,42%"
"27.08.2013","11,41","11,71","12,01","11,05","455,82K","-2,65%"
"26.08.2013","11,72","12,09","12,09","11,71","183,36K","-3,06%"
"23.08.2013","12,09","12,10","12,12","11,97","159,36K","0,75%"
"22.08.2013","12,00","11,84","12,07","11,56","453,41K","3,09%"
"21.08.2013","11,64","10,91","11,86","10,91","354,31K","6,79%"
"20.08.2013","10,90","11,03","11,03","10,75","154,41K","-1,62%"
"19.08.2013","11,08","11,35","11,35","10,90","230,06K","-1,86%"
"16.08.2013","11,29","11,33","11,37","11,19","140,85K","-0,09%"
"14.08.2013","11,30","11,13","11,40","11,07","419,31K","2,17%"
"13.08.2013","11,06","10,65","11,20","10,65","450,45K","3,46%"
"12.08.2013","10,69","10,68","10,69","10,52","82,92K","0,19%"
"09.08.2013","10,67","10,61","10,70","10,50","174,69K","0,66%"
"08.08.2013","10,60","10,52","10,70","10,48","237,52K","0,95%"
"07.08.2013","10,50","10,40","10,55","10,40","110,49K","0,77%"
"06.08.2013","10,42","10,46","10,58","10,39","259,75K","-0,29%"
"05.08.2013","10,45","10,20","10,45","10,10","268,42K","0,67%"
"02.08.2013","10,38","10,50","10,59","10,06","306,99K","0,78%"
"01.08.2013","10,30","10,71","11,00","10,30","470,91K","-3,74%"
"31.07.2013","10,70","10,78","10,78","10,65","101,17K","0,19%"
"30.07.2013","10,68","10,65","10,79","10,26","346,06K","0,28%"
"29.07.2013","10,65","9,86","10,78","9,85","605,54K","8,34%"
"26.07.2013","9,83","9,67","9,87","9,56","209,03K","2,82%"
"25.07.2013","9,56","9,64","9,65","9,44","94,19K","0,10%"
"24.07.2013","9,55","9,64","9,69","9,46","55,26K","-0,52%"
"23.07.2013","9,60","9,50","9,64","9,34","88,64K","1,16%"
"22.07.2013","9,49","9,71","9,78","9,42","142,68K","-1,15%"
"19.07.2013","9,60","9,50","9,75","9,41","580,06K","2,89%"
"18.07.2013","9,33","9,20","9,35","9,12","95,65K","1,41%"
"17.07.2013","9,20","9,20","9,22","9,10","150,52K","0,00%"
"16.07.2013","9,20","9,29","9,29","9,10","54,38K","-0,97%"
"15.07.2013","9,29","9,38","9,38","9,25","5,85K","-0,32%"
"12.07.2013","9,32","9,39","9,40","9,31","80,74K","-0,75%"
"11.07.2013","9,39","9,08","9,48","9,08","152,00K","3,99%"
"10.07.2013","9,03","9,07","9,10","9,00","27,44K","-0,22%"
"09.07.2013","9,05","9,02","9,09","8,90","100,86K","-0,44%"
"08.07.2013","9,09","9,05","9,12","9,00","71,11K","-0,11%"
"05.07.2013","9,10","9,26","9,28","9,06","52,77K","-1,09%"
"04.07.2013","9,20","8,86","9,21","8,86","104,03K","2,56%"
"03.07.2013","8,97","8,91","8,97","8,70","154,55K","-0,22%"
"02.07.2013","8,99","9,17","9,20","8,97","62,17K","-2,28%"
"01.07.2013","9,20","9,24","9,24","9,05","54,75K","-0,54%"
"28.06.2013","9,25","9,24","9,25","8,95","121,94K","0,65%"
"27.06.2013","9,19","9,10","9,35","8,82","206,40K","0,99%"
