Data,Ostatnio,Otwarcie,Max.,Min.,Wol.,Zmiana%
01.12.2021,"186,20","184,58","189,58","177,58","249,96K","1,88%"
01.11.2021,"182,76","176,20","201,00","170,66","8,02M","5,11%"
01.10.2021,"173,88","190,50","212,00","172,58","8,86M","-9,34%"
01.09.2021,"191,80","171,00","199,42","169,40","10,10M","13,28%"
01.08.2021,"169,32","183,48","183,48","163,20","7,23M","-8,35%"
01.07.2021,"184,74","185,10","206,15","176,80","8,59M","-0,15%"
01.06.2021,"185,02","156,12","211,65","152,60","15,32M","9,65%"
01.05.2021,"168,74","175,22","182,96","151,08","13,53M","-3,09%"
01.04.2021,"174,12","190,80","201,00","165,10","13,86M","-8,60%"
01.03.2021,"190,50","237,40","251,60","181,50","21,45M","-19,48%"
01.02.2021,"236,60","305,50","316,00","234,20","12,33M","-22,48%"
01.01.2021,"305,20","276,50","376,50","234,20","32,16M","11,10%"
01.12.2020,"274,70","392,40","464,20","238,50","36,86M","-29,47%"
01.11.2020,"389,50","343,60","401,10","341,40","9,89M","16,13%"
01.10.2020,"335,40","416,90","416,90","320,00","13,02M","-19,84%"
01.09.2020,"418,40","438,50","451,00","385,30","9,00M","-4,58%"
01.08.2020,"438,50","400,00","462,00","399,40","6,60M","9,08%"
01.07.2020,"402,00","395,50","410,80","351,10","8,00M","1,80%"
01.06.2020,"394,90","405,00","416,50","352,20","7,12M","-2,20%"
01.05.2020,"403,80","351,00","417,70","348,60","6,63M","12,92%"
01.04.2020,"357,60","283,50","374,00","276,50","7,23M","23,69%"
01.03.2020,"289,10","287,90","306,90","205,20","13,50M","3,81%"
01.02.2020,"278,50","280,60","336,00","261,60","7,93M","-1,10%"
01.01.2020,"281,60","282,00","292,70","243,00","9,38M","0,75%"
01.12.2019,"279,50","264,00","285,00","252,40","3,79M","6,48%"
01.11.2019,"262,50","256,80","269,20","253,20","3,96M","4,13%"
01.10.2019,"252,10","244,10","257,00","230,00","4,07M","3,57%"
01.09.2019,"243,40","253,00","261,70","236,40","4,47M","-3,79%"
01.08.2019,"253,00","229,80","259,80","211,60","6,80M","10,00%"
01.07.2019,"230,00","218,30","231,10","209,70","4,93M","6,83%"
01.06.2019,"215,30","208,70","233,00","197,40","8,67M","3,61%"
01.05.2019,"207,80","215,00","224,90","202,10","5,99M","-3,30%"
01.04.2019,"214,90","201,00","220,50","196,10","5,62M","7,45%"
01.03.2019,"200,00","192,00","204,60","176,50","4,64M","5,21%"
01.02.2019,"190,10","190,00","195,00","173,40","4,95M","0,05%"
01.01.2019,"190,00","145,40","201,40","142,10","7,95M","30,49%"
01.12.2018,"145,60","148,80","157,00","135,40","5,51M","2,39%"
01.11.2018,"142,20","165,00","170,40","124,30","8,07M","-10,17%"
01.10.2018,"158,30","188,90","194,40","135,00","9,17M","-15,48%"
01.09.2018,"187,30","206,40","208,80","167,80","7,01M","-9,08%"
01.08.2018,"206,00","194,80","222,40","185,20","4,42M","4,30%"
01.07.2018,"197,50","159,70","221,00","159,20","6,88M","22,06%"
01.06.2018,"161,80","147,20","172,50","140,40","7,84M","9,92%"
01.05.2018,"147,20","124,80","148,90","123,00","6,92M","17,95%"
