"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"07.12.2021","185,58","184,90","189,68","183,40","364,94K","0,86%"
"06.12.2021","184,00","182,10","185,34","181,10","278,65K","1,40%"
"03.12.2021","181,46","181,58","183,58","179,92","621,88K","0,81%"
"02.12.2021","180,00","182,50","183,70","177,50","361,14K","-2,70%"
"01.12.2021","185,00","183,54","185,60","178,10","450,97K","1,23%"
"30.11.2021","182,76","180,00","186,50","175,30","1,31M","-4,57%"
"29.11.2021","191,52","187,00","198,80","186,94","538,88K","3,23%"
"26.11.2021","185,52","185,00","186,80","181,10","553,81K","-0,83%"
"25.11.2021","187,08","189,00","190,98","185,18","194,87K","0,29%"
"24.11.2021","186,54","199,88","201,00","186,50","556,52K","-7,19%"
"23.11.2021","201,00","194,00","201,00","190,40","959,89K","3,35%"
"22.11.2021","194,48","189,00","197,50","186,60","604,45K","2,90%"
"19.11.2021","189,00","180,00","189,60","178,50","463,90K","4,22%"
"18.11.2021","181,34","179,92","181,88","178,00","181,27K","0,78%"
"17.11.2021","179,94","184,50","184,50","179,22","198,92K","-1,67%"
"16.11.2021","183,00","184,00","187,36","182,38","247,35K","-0,17%"
"15.11.2021","183,32","184,72","189,86","183,32","257,87K","-0,80%"
"12.11.2021","184,80","182,50","187,28","182,08","305,79K","2,25%"
"10.11.2021","180,74","182,26","182,50","178,36","148,48K","-0,53%"
"09.11.2021","181,70","178,40","182,86","178,24","194,95K","1,51%"
"08.11.2021","179,00","178,82","181,88","178,22","85,70K","0,10%"
"05.11.2021","178,82","182,00","183,20","177,42","206,71K","-1,26%"
"04.11.2021","181,10","174,02","181,60","173,22","281,41K","4,32%"
"03.11.2021","173,60","173,82","177,32","173,00","406,80K","0,10%"
"02.11.2021","173,42","176,20","176,20","170,66","323,19K","-0,26%"
"29.10.2021","173,88","174,10","177,20","172,58","383,67K","0,61%"
"28.10.2021","172,82","178,98","180,52","172,82","370,01K","-2,92%"
"27.10.2021","178,02","181,82","183,14","176,20","348,71K","-2,19%"
"26.10.2021","182,00","187,26","188,50","182,00","215,29K","-2,78%"
"25.10.2021","187,20","185,50","187,68","184,70","222,79K","1,58%"
"22.10.2021","184,28","181,00","184,98","181,00","289,50K","1,81%"
"21.10.2021","181,00","183,42","184,46","175,76","1,26M","-6,51%"
"20.10.2021","193,60","197,00","197,58","193,50","209,05K","-1,96%"
"19.10.2021","197,48","189,10","197,52","189,10","303,81K","4,45%"
"18.10.2021","189,06","188,80","191,50","186,10","334,34K","0,50%"
"15.10.2021","188,12","200,80","201,00","188,02","963,88K","-5,94%"
"14.10.2021","200,00","208,80","212,00","199,30","577,65K","-4,24%"
"13.10.2021","208,85","203,05","209,40","200,80","402,53K","2,43%"
"12.10.2021","203,90","195,16","204,80","195,16","618,03K","4,46%"
"11.10.2021","195,20","194,76","197,90","192,80","272,27K","0,17%"
"08.10.2021","194,86","193,88","196,70","192,66","253,15K","0,39%"
"07.10.2021","194,10","190,00","197,30","189,68","494,76K","0,50%"
"06.10.2021","193,14","192,70","193,78","188,00","375,76K","-0,44%"
"05.10.2021","194,00","184,00","194,00","182,50","516,59K","5,38%"
"04.10.2021","184,10","188,12","188,12","182,50","423,25K","-2,87%"
