"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"05.12.2021","186,20","182,05","189,58","181,16","249,96K","2,61%"
"28.11.2021","181,46","187,00","198,80","175,30","3,28M","-2,19%"
"21.11.2021","185,52","189,00","201,00","181,10","2,87M","-1,84%"
"14.11.2021","189,00","184,72","189,86","178,00","1,35M","2,27%"
"07.11.2021","184,80","178,82","187,28","178,22","734,91K","3,34%"
"31.10.2021","178,82","176,20","183,20","170,66","1,22M","2,84%"
"24.10.2021","173,88","185,50","188,50","172,58","1,54M","-5,64%"
"17.10.2021","184,28","188,80","197,58","175,76","2,40M","-2,04%"
"10.10.2021","188,12","194,76","212,00","188,02","2,83M","-3,46%"
"03.10.2021","194,86","188,12","197,30","182,50","2,06M","2,81%"
"26.09.2021","189,54","185,40","195,40","177,20","1,05M","3,00%"
"19.09.2021","184,02","192,12","196,50","183,00","1,82M","-5,63%"
"12.09.2021","195,00","182,26","199,42","181,50","2,94M","7,49%"
"05.09.2021","181,42","187,34","189,20","176,60","1,82M","-2,99%"
"29.08.2021","187,02","167,88","192,96","164,40","3,64M","11,47%"
"22.08.2021","167,78","166,16","170,90","163,20","1,27M","1,23%"
"15.08.2021","165,74","168,90","171,54","164,38","1,50M","-1,87%"
"08.08.2021","168,90","175,00","175,24","164,08","1,36M","-3,00%"
"01.08.2021","174,12","183,48","183,48","172,66","1,96M","-5,75%"
"25.07.2021","184,74","188,90","189,30","176,80","2,17M","-0,83%"
"18.07.2021","186,28","193,60","194,24","180,40","1,80M","-4,05%"
"11.07.2021","194,14","190,20","206,15","190,10","2,46M","3,27%"
"04.07.2021","188,00","192,62","193,90","186,82","1,53M","-1,16%"
"27.06.2021","190,20","179,62","193,24","178,06","2,31M","5,83%"
"20.06.2021","179,72","183,86","185,96","173,04","2,09M","-2,25%"
"13.06.2021","183,86","186,20","211,65","178,22","5,24M","-1,04%"
"06.06.2021","185,80","170,66","186,50","167,12","2,71M","8,53%"
"30.05.2021","171,20","175,00","175,00","152,60","4,12M","-4,13%"
"23.05.2021","178,58","172,00","182,96","161,60","3,21M","3,23%"
"16.05.2021","173,00","167,00","178,00","165,50","3,78M","4,92%"
"09.05.2021","164,88","163,00","170,78","151,08","3,42M","2,12%"
"02.05.2021","161,46","175,22","175,80","154,62","2,59M","-7,27%"
"25.04.2021","174,12","173,48","179,74","165,10","2,98M","1,74%"
"18.04.2021","171,14","178,94","185,10","167,30","3,00M","-3,18%"
"11.04.2021","176,76","185,70","192,50","175,00","3,33M","-4,13%"
"04.04.2021","184,38","198,98","201,00","181,60","3,50M","-5,24%"
"28.03.2021","194,58","218,00","251,60","181,50","8,32M","-8,22%"
"21.03.2021","212,00","221,00","222,40","208,10","2,78M","-5,02%"
"14.03.2021","223,20","231,00","236,10","217,90","3,07M","-1,46%"
"07.03.2021","226,50","234,90","237,50","206,60","4,74M","-2,37%"
"28.02.2021","232,00","237,40","245,90","225,20","3,59M","-1,94%"
"21.02.2021","236,60","266,40","268,20","234,20","3,61M","-10,85%"
"14.02.2021","265,40","260,00","283,50","258,30","1,82M","0,91%"
"07.02.2021","263,00","297,00","297,80","260,30","2,98M","-10,36%"
"31.01.2021","293,40","305,50","316,00","282,40","3,92M","-3,87%"
"24.01.2021","305,20","252,00","376,50","250,30","19,96M","22,03%"
"17.01.2021","250,10","257,00","260,50","239,00","3,40M","-2,38%"
"10.01.2021","256,20","240,00","277,10","240,00","4,15M","6,79%"
"03.01.2021","239,90","276,50","279,00","234,20","4,65M","-12,67%"
"27.12.2020","274,70","265,00","285,20","257,10","2,37M","2,12%"
"20.12.2020","269,00","260,00","275,90","248,00","5,65M","-0,88%"
"13.12.2020","271,40","265,00","316,80","238,50","15,65M","-15,32%"
"06.12.2020","320,50","446,50","464,20","308,30","10,73M","-27,65%"
"29.11.2020","443,00","366,00","443,50","366,00","3,51M","22,14%"
"22.11.2020","362,70","377,50","389,00","352,60","1,83M","-2,55%"
"15.11.2020","372,20","370,00","378,80","359,20","1,55M","2,42%"
"08.11.2020","363,40","389,00","401,10","353,50","2,51M","-5,14%"
"01.11.2020","383,10","343,60","396,20","341,40","2,95M","14,22%"
"25.10.2020","335,40","354,50","380,00","320,00","3,98M","-5,12%"
"18.10.2020","353,50","381,60","384,00","352,70","2,60M","-6,63%"
"11.10.2020","378,60","378,00","397,70","367,00","2,08M","0,11%"
"04.10.2020","378,20","403,00","410,50","365,70","2,44M","-4,78%"
