"Data","Ostatnio","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"29.10.2021","564,50","551,00","597,50","545,00","73,33K","2,17%"
"28.10.2021","552,50","554,00","557,50","542,00","36,08K","-0,09%"
"27.10.2021","553,00","537,00","557,00","531,00","58,25K","2,98%"
"26.10.2021","537,00","530,00","538,00","524,50","22,35K","1,32%"
"25.10.2021","530,00","520,00","531,50","520,00","31,16K","2,02%"
"22.10.2021","519,50","528,00","542,50","519,50","43,83K","-1,61%"
"21.10.2021","528,00","521,00","530,00","516,50","46,91K","1,15%"
"20.10.2021","522,00","521,50","525,00","514,50","28,80K","0,19%"
"19.10.2021","521,00","520,00","526,00","515,00","47,09K","0,10%"
"18.10.2021","520,50","509,00","527,00","508,00","45,20K","1,86%"
"15.10.2021","511,00","493,80","511,00","493,80","39,31K","2,61%"
"14.10.2021","498,00","477,60","498,00","477,60","60,66K","2,89%"
"13.10.2021","484,00","485,00","494,00","478,00","30,51K","-1,39%"
"12.10.2021","490,80","463,00","493,80","460,00","82,32K","5,32%"
"11.10.2021","466,00","466,20","474,40","464,20","27,58K","-0,04%"
"08.10.2021","466,20","465,20","470,80","450,00","70,70K","0,04%"
"07.10.2021","466,00","461,00","467,80","458,00","50,84K","0,43%"
"06.10.2021","464,00","423,00","465,20","422,40","91,53K","9,43%"
"05.10.2021","424,00","420,00","429,00","419,00","19,33K","0,24%"
"04.10.2021","423,00","420,00","432,00","416,00","27,36K","0,67%"
"01.10.2021","420,20","405,80","426,20","402,20","28,88K","2,24%"
"30.09.2021","411,00","409,00","413,00","401,60","26,27K","0,34%"
"29.09.2021","409,60","393,00","409,60","393,00","10,17K","4,22%"
"28.09.2021","393,00","408,80","409,00","392,00","32,87K","-4,15%"
"27.09.2021","410,00","400,00","417,80","397,20","44,23K","2,50%"
"24.09.2021","400,00","399,40","400,00","390,20","18,23K","0,40%"
"23.09.2021","398,40","394,60","400,00","394,40","28,50K","1,84%"
"22.09.2021","391,20","380,20","394,00","380,20","17,87K","2,68%"
"21.09.2021","381,00","372,80","392,40","372,80","22,30K","1,87%"
"20.09.2021","374,00","394,80","394,80","371,00","39,88K","-5,84%"
"17.09.2021","397,20","396,20","400,00","394,00","39,22K","0,25%"
"16.09.2021","396,20","392,40","399,00","389,00","18,98K","0,87%"
"15.09.2021","392,80","392,00","398,60","388,00","17,19K","-0,81%"
"14.09.2021","396,00","384,00","399,80","380,00","48,29K","3,13%"
"13.09.2021","384,00","381,00","384,00","376,00","14,36K","1,27%"
"10.09.2021","379,20","381,80","384,80","376,20","8,63K","-0,68%"
"09.09.2021","381,80","373,80","384,00","366,60","16,53K","1,11%"
"08.09.2021","377,60","385,00","385,00","374,40","12,34K","-1,92%"
"07.09.2021","385,00","383,00","387,40","379,80","12,43K","0,52%"
"06.09.2021","383,00","383,40","387,60","379,40","9,53K","-0,47%"
"03.09.2021","384,80","380,00","387,60","376,60","25,16K","0,94%"
"02.09.2021","381,20","376,00","385,00","365,00","24,42K","1,11%"
"01.09.2021","377,00","375,00","383,00","373,20","33,98K","1,62%"
"31.08.2021","371,00","358,00","372,20","355,40","49,43K","3,52%"
"30.08.2021","358,40","359,00","365,80","353,20","32,03K","-0,11%"
"27.08.2021","358,80","355,40","360,00","349,60","19,26K","0,84%"
"26.08.2021","355,80","348,80","357,20","348,00","27,32K","2,01%"
"25.08.2021","348,80","335,00","348,80","334,20","32,55K","4,18%"
"24.08.2021","334,80","335,20","336,80","332,60","7,67K","-0,36%"
"23.08.2021","336,00","329,80","336,00","328,00","19,96K","1,88%"
"20.08.2021","329,80","322,00","330,00","322,00","9,19K","1,48%"
"19.08.2021","325,00","326,80","328,00","321,40","13,97K","-1,34%"
"18.08.2021","329,40","326,60","330,20","321,20","10,66K","0,12%"
